fid;ra_cira;ra_nome;ra_codigo;ra_path;ra_areakm2;shape_Leng;shape_Area;auxiliary_storage_labeling_positionx;auxiliary_storage_labeling_positiony;auxiliary_storage_labeling_lineanchorpercent;auxiliary_storage_labeling_lineanchorclipping;auxiliary_storage_labeling_lineanchortype;auxiliary_storage_labeling_lineanchortextpoint;fid_count;id_count;Name_count;description_count;timestamp_count;begin_count;end_count;altitudeMode_count;tessellate_count;extrude_count;visibility_count;drawOrder_count;icon_count;parada_count;descricao_count;situacao_count;estrutura_de_paragem_count;tipo_count
1;1;PLANO PILOTO;RA-I;https://www.geoservicos.ide.df.gov.br/anexos/monografia/PLANO_PILOTO.pdf;43.720.138.183;0;0;182.635.241.701.223;825.944.922.600.825;;;;;562;562;562;562;562;562;562;562;562;562;562;0;562;562;562;562;562;562
26;2;GAMA;RA-II;https://www.geoservicos.ide.df.gov.br/anexos/monografia/GAMA.pdf;27.605.341.381;0;0;;;;;;;260;260;260;260;260;260;260;260;260;260;260;0;260;260;260;260;260;260
13;3;TAGUATINGA;RA-III;https://www.geoservicos.ide.df.gov.br/anexos/monografia/TAGUATINGA.pdf;6.304.456.278;0;0;;;;;;;296;296;296;296;296;296;296;296;296;296;296;0;296;296;296;296;296;296
24;4;BRAZLÂNDIA;RA-IV;https://www.geoservicos.ide.df.gov.br/anexos/monografia/BRAZLANDIA.pdf;47.018.355.935;0;0;;;;;;;220;220;220;220;220;220;220;220;220;220;220;0;220;220;220;220;220;220
2;5;SOBRADINHO;RA-V;https://www.geoservicos.ide.df.gov.br/anexos/monografia/SOBRADINHO.pdf;19.352.647.717;0;0;;;;;;;185;185;185;185;185;185;185;185;185;185;185;0;185;185;185;185;185;185
22;6;PLANALTINA;RA-VI;https://www.geoservicos.ide.df.gov.br/anexos/monografia/PLANALTINA.pdf;150.941.488.927;0;0;;;;;;;440;440;440;440;440;440;440;440;440;440;440;0;440;440;440;440;440;440
28;7;PARANOÁ;RA-VII;https://www.geoservicos.ide.df.gov.br/anexos/monografia/PARANOA.pdf;83.120.984.934;0;0;;;;;;;219;219;219;219;219;219;219;219;219;219;219;0;219;219;219;219;219;219
12;8;NÚCLEO BANDEIRANTE;RA-VIII;https://www.geoservicos.ide.df.gov.br/anexos/monografia/NUCLEO_BANDEIRANTE.pdf;504.681.028;0;0;180.877.450.449.856;824.173.897.765.815;;;;;57;57;57;57;57;57;57;57;57;57;57;0;57;57;57;57;57;57
34;9;CEILÂNDIA;RA-IX;https://www.geoservicos.ide.df.gov.br/anexos/monografia/CEILANDIA.pdf;1.926.569.424;0;0;;;;;;;507;507;507;507;507;507;507;507;507;507;507;0;507;507;507;507;507;507
3;10;GUARÁ;RA-X;https://www.geoservicos.ide.df.gov.br/anexos/monografia/GUARA.pdf;2.522.334.954;0;0;;;;;;;132;132;132;132;132;132;132;132;132;132;132;0;132;132;132;132;132;132
